en English en-gb Linda
vi Vietnamese vi-vn Chi
de German de-de Hanna
fr French fr-fr Bette
it Italian it-it Bria
ja Japanese ja-jp Hina
ko Korean ko-kr Nari
pt Portuguese pt-pt Leonor
ru Russian ru-ru Olga
es Spanish es-es Camila
th Thai th-th Ukrit
tr Turkish tr-tr Omer
zh-CN Chinese zh-cn Luli
zh-TW Taiwan zh-tw Akemi
cs Czech cs-cz Josef
da Danish da-dk Freja
fi Finnish fi-fi Aada
el Greek el-gr Neo
hu Hungarian hu-hu Mate
nl Dutch nl-nl Lotte
pl Polish pl-pl Julia
sv Swedish sv-se Molly
ro Romanian ro-ro Doru
hi Hindi hi-in Puja
ms Malay ms-my Aqil
